country,std_dist_to_TR
Albania,.1458853
Algeria,.2221269
Andorra,.7055054
Argentina,.4332813
Armenia,.2974761
Australia,.7100703
Austria,.7196499
Azerbaijan,.167358
Bangladesh,.1581713
Belarus,.5265498
Belgium,.5497358
Bolivia,.250635
Bosnia and Herzegovina,.188779
Brazil,.3063638
Bulgaria,.3135629
Burkina Faso,.1539631
Canada,.5667968
Chile,.5071435
China,.318248
Colombia,.2205247
Croatia,.3995508
Cyprus,.1591806
Czech Republic,.6913723
Denmark,.9221124
Dominican Republic,.3045793
Ecuador,.1381429
Egypt,.3713828
El Salvador,.0297463
Estonia,.579292
Ethiopia,.2245144
Finland,.7555298
France,.6693177
Georgia,.0282454
Germany,.7842516
Germany West,.4836467
Ghana,.2619096
Greece,.2814158
Guatemala,.4184706
Haiti,.5685598
Hong Kong SAR,.6070375
Hungary,.5444989
Iceland,.9377142
India,.0793723
Indonesia,.0833755
Iran,.0628783
Iraq,.2896176
Ireland,.4009674
Italy,.4192803
Japan,.6066421
Jordan,.3084449
Kazakhstan,.2559081
Kosovo,.0864037
Kuwait,.1024416
Kyrgyzstan,.1871356
Latvia,.6044435
Lebanon,.2565756
Libya,.2471001
Lithuania,.5098471
Luxembourg,.5024863
Macau SAR,.6599982
Malaysia,.2976355
Mali,.1242125
Malta,.0325548
Mexico,.4145935
Moldova,.3528054
Montenegro,.2271691
Morocco,.1799609
Myanmar,.2007058
Netherlands,.8124272
New Zealand,.7384928
Nicaragua,.2100636
Nigeria,.1783868
North Macedonia,.2345222
Northern Ireland,.3759791
Norway,.940979
Pakistan,.2619694
Palestine,.210971
Peru,.2758466
Philippines,.1298888
Poland,.324006
Portugal,.3783615
Puerto Rico,.3907067
Qatar,.4632338
Romania,.1800707
Russian,.4483133
Rwanda,.2302273
Saudi Arabia,.0949598
Serbia,.32449
Singapore,.230165
Slovakia,.5612988
Slovenia,.6981235
South Africa,.3910609
South Korea,.7258395
Spain,.7732433
Sweden,1
Switzerland,.7873932
Taiwan ROC,.4713243
Tajikistan,.3204148
Tanzania,.2567305
Thailand,.3391781
Trinidad and Tobago,.0763675
Tunisia,.1240503
Turkey,0
Uganda,.1514128
Ukraine,.5116708
United Kingdom,.6967751
United States,.534117
Uruguay,.529175
Uzbekistan,.1395994
Venezuela,.1655322
Vietnam,.377932
Yemen,.3463309
Zambia,.2515157
Zimbabwe,.1437011
